Datetime,Open,High,Low,Close,Adj Close,Volume
2021-05-20 00:00:00+01:00,39169.38,39169.38,39169.38,39169.38,39169.38,0
2021-05-20 00:01:00+01:00,39196.16,39196.16,39196.16,39196.16,39196.16,0
2021-05-20 00:02:00+01:00,39153.21,39153.21,39153.21,39153.21,39153.21,0
2021-05-20 00:03:00+01:00,39027.18,39027.18,39027.18,39027.18,39027.18,102473728
2021-05-20 00:04:00+01:00,38966.34,38966.34,38966.34,38966.34,38966.34,0
2021-05-20 00:05:00+01:00,38681.7,38681.7,38681.7,38681.7,38681.7,0
2021-05-20 00:06:00+01:00,38572.28,38572.28,38572.28,38572.28,38572.28,0
2021-05-20 00:07:00+01:00,38589.62,38589.62,38589.62,38589.62,38589.62,0
2021-05-20 00:08:00+01:00,38503.35,38503.35,38503.35,38503.35,38503.35,0
2021-05-20 00:09:00+01:00,38134.42,38134.42,38134.42,38134.42,38134.42,0
2021-05-20 00:10:00+01:00,38319.48,38319.48,38319.48,38319.48,38319.48,0
2021-05-20 00:11:00+01:00,38258.13,38258.13,38258.13,38258.13,38258.13,0
2021-05-20 00:12:00+01:00,38136.93,38136.93,38136.93,38136.93,38136.93,100319232
2021-05-20 00:13:00+01:00,38067.47,38067.47,38067.47,38067.47,38067.47,0
2021-05-20 00:14:00+01:00,37975.5,37975.5,37975.5,37975.5,37975.5,0
2021-05-20 00:15:00+01:00,37968.3,37968.3,37968.3,37968.3,37968.3,0
2021-05-20 00:16:00+01:00,38143.45,38143.45,38143.45,38143.45,38143.45,298532864
2021-05-20 00:17:00+01:00,37907.33,37907.33,37907.33,37907.33,37907.33,0
2021-05-20 00:18:00+01:00,38027.93,38027.93,38027.93,38027.93,38027.93,316039168
2021-05-20 00:19:00+01:00,38166.93,38166.93,38166.93,38166.93,38166.93,123559936
2021-05-20 00:20:00+01:00,38083.03,38083.03,38083.03,38083.03,38083.03,0
2021-05-20 00:21:00+01:00,38178.08,38178.08,38178.08,38178.08,38178.08,466649088
2021-05-20 00:22:00+01:00,38217.33,38217.33,38217.33,38217.33,38217.33,0
2021-05-20 00:23:00+01:00,38150.74,38150.74,38150.74,38150.74,38150.74,226729984
2021-05-20 00:24:00+01:00,37907.09,37907.09,37907.09,37907.09,37907.09,0
2021-05-20 00:25:00+01:00,37995.53,37995.53,37995.53,37995.53,37995.53,0
2021-05-20 00:26:00+01:00,38136.27,38136.27,38136.27,38136.27,38136.27,0
2021-05-20 00:27:00+01:00,38096.42,38096.42,38096.42,38096.42,38096.42,235069440
2021-05-20 00:28:00+01:00,38095.41,38095.41,38095.41,38095.41,38095.41,16842752
2021-05-20 00:29:00+01:00,37985.18,37985.18,37985.18,37985.18,37985.18,0
2021-05-20 00:30:00+01:00,37901.48,37901.48,37901.48,37901.48,37901.48,0
2021-05-20 00:31:00+01:00,37994.71,37994.71,37994.71,37994.71,37994.71,0
2021-05-20 00:32:00+01:00,38211.97,38211.97,38211.97,38211.97,38211.97,4677632
2021-05-20 00:33:00+01:00,38064.02,38064.02,38064.02,38064.02,38064.02,138797056
2021-05-20 00:34:00+01:00,38102.8,38102.8,38102.8,38102.8,38102.8,148627456
2021-05-20 00:35:00+01:00,38067.18,38067.18,38067.18,38067.18,38067.18,0
2021-05-20 00:36:00+01:00,38150.78,38150.78,38150.78,38150.78,38150.78,273055744
2021-05-20 00:37:00+01:00,38287.14,38287.14,38287.14,38287.14,38287.14,216743936
2021-05-20 00:38:00+01:00,38378.59,38378.59,38378.59,38378.59,38378.59,0
2021-05-20 00:39:00+01:00,38269.62,38269.62,38269.62,38269.62,38269.62,28565504
2021-05-20 00:40:00+01:00,38161.26,38161.26,38161.26,38161.26,38161.26,74850304
2021-05-20 00:41:00+01:00,38051.84,38051.84,38051.84,38051.84,38051.84,0
2021-05-20 00:42:00+01:00,38021.55,38021.55,38021.55,38021.55,38021.55,53813248
2021-05-20 00:43:00+01:00,38016.26,38016.26,38016.26,38016.26,38016.26,0
2021-05-20 00:44:00+01:00,37991.23,37991.23,37991.23,37991.23,37991.23,0
2021-05-20 00:45:00+01:00,37692.72,37692.72,37692.72,37692.72,37692.72,0
2021-05-20 00:46:00+01:00,37392.7,37392.7,37392.7,37392.7,37392.7,0
2021-05-20 00:47:00+01:00,37376.41,37376.41,37376.41,37376.41,37376.41,0
2021-05-20 00:48:00+01:00,37329.09,37329.09,37329.09,37329.09,37329.09,0
2021-05-20 00:49:00+01:00,37207.11,37207.11,37207.11,37207.11,37207.11,0
2021-05-20 00:50:00+01:00,37434.36,37434.36,37434.36,37434.36,37434.36,1531904
2021-05-20 00:51:00+01:00,37228.74,37228.74,37228.74,37228.74,37228.74,0
2021-05-20 00:52:00+01:00,37169.92,37169.92,37169.92,37169.92,37169.92,600481792
2021-05-20 00:53:00+01:00,36984.76,36984.76,36984.76,36984.76,36984.76,0
2021-05-20 00:54:00+01:00,37110.64,37110.64,37110.64,37110.64,37110.64,124329984
2021-05-20 00:55:00+01:00,36925.84,36925.84,36925.84,36925.84,36925.84,0
2021-05-20 00:56:00+01:00,37151.95,37151.95,37151.95,37151.95,37151.95,500908032
2021-05-20 00:57:00+01:00,37231.2,37231.2,37231.2,37231.2,37231.2,11034624
2021-05-20 00:58:00+01:00,37155.87,37155.87,37155.87,37155.87,37155.87,71966720
2021-05-20 00:59:00+01:00,37002.44,37002.44,37002.44,37002.44,37002.44,118521856
2021-05-20 01:00:00+01:00,36753.67,36753.67,36753.67,36753.67,36753.67,0
2021-05-20 01:01:00+01:00,37187.72,37187.72,37187.72,37187.72,37187.72,227295232
2021-05-20 01:02:00+01:00,37261.47,37261.47,37261.47,37261.47,37261.47,0
2021-05-20 01:03:00+01:00,37160.85,37160.85,37160.85,37160.85,37160.85,253624320
2021-05-20 01:04:00+01:00,37281.85,37281.85,37281.85,37281.85,37281.85,570302464
2021-05-20 01:05:00+01:00,37116.09,37116.09,37116.09,37116.09,37116.09,0
2021-05-20 01:06:00+01:00,37296.05,37296.05,37296.05,37296.05,37296.05,268869632
2021-05-20 01:07:00+01:00,37425.99,37425.99,37425.99,37425.99,37425.99,149831680
2021-05-20 01:08:00+01:00,37754.59,37754.59,37754.59,37754.59,37754.59,485482496
2021-05-20 01:09:00+01:00,37478.96,37478.96,37478.96,37478.96,37478.96,65306624
2021-05-20 01:10:00+01:00,37604.62,37604.62,37604.62,37604.62,37604.62,313270272
2021-05-20 01:11:00+01:00,37488.56,37488.56,37488.56,37488.56,37488.56,0
2021-05-20 01:12:00+01:00,37689.01,37689.01,37689.01,37689.01,37689.01,290185216
2021-05-20 01:13:00+01:00,37874.16,37874.16,37874.16,37874.16,37874.16,355876864
2021-05-20 01:14:00+01:00,37882.59,37882.59,37882.59,37882.59,37882.59,363167744
2021-05-20 01:15:00+01:00,37903.68,37903.68,37903.68,37903.68,37903.68,0
2021-05-20 01:16:00+01:00,38134.21,38134.21,38134.21,38134.21,38134.21,284942336
2021-05-20 01:17:00+01:00,38161.13,38161.13,38161.13,38161.13,38161.13,88612864
2021-05-20 01:18:00+01:00,38020.1,38020.1,38020.1,38020.1,38020.1,23183360
2021-05-20 01:19:00+01:00,37956.75,37956.75,37956.75,37956.75,37956.75,107823104
2021-05-20 01:20:00+01:00,37874.89,37874.89,37874.89,37874.89,37874.89,4644864
2021-05-20 01:21:00+01:00,37601.98,37601.98,37601.98,37601.98,37601.98,0
2021-05-20 01:22:00+01:00,37497.18,37497.18,37497.18,37497.18,37497.18,0
2021-05-20 01:23:00+01:00,37493.99,37493.99,37493.99,37493.99,37493.99,0
